"m","p","tau","rho","width_us","width_riqite","cover_us","cover_riqite","quants_check"
500,0.6,1,0.1,0.02002002002002,0.364,TRUE,TRUE,0.9
500,0.6,1,0.1,0.3003003003003,1.006,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-2.9029029029029,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.14214214214214,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-1.74174174174174,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.5015015015015,-2.622,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.02102102102102,-1.079,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.62062062062062,-0.507,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.22022022022022,-0.017,TRUE,TRUE,0.8
500,0.6,1,0.1,0.22022022022022,0.434,TRUE,TRUE,0.9
500,0.6,1,0.1,0.42042042042042,1.086,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.66366366366366,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.74274274274274,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-2.22222222222222,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.94194194194194,-Inf,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.34134134134134,-1.446,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.860860860860861,-0.81,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.54054054054054,-0.381,TRUE,TRUE,0.8
500,0.6,1,0.1,-0.22022022022022,0.002,TRUE,TRUE,0.9
500,0.6,1,0.1,0.06006006006006,0.624,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.34334334334334,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.78278278278278,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-2.38238238238238,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.66166166166166,-Inf,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.18118118118118,-1.288,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.74074074074074,-0.655,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.42042042042042,-0.177,TRUE,TRUE,0.8
500,0.6,1,0.1,-0.02002002002002,0.354,TRUE,TRUE,0.9
500,0.6,1,0.1,0.26026026026026,0.975,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.34334334334334,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.34234234234234,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-2.06206206206206,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.58158158158158,-3.318,TRUE,TRUE,0.5
500,0.6,1,0.1,-1.06106106106106,-1.216,TRUE,TRUE,0.6
500,0.6,1,0.1,-0.66066066066066,-0.535,TRUE,TRUE,0.7
500,0.6,1,0.1,-0.3003003003003,-0.048,TRUE,TRUE,0.8
500,0.6,1,0.1,0.02002002002002,0.39,TRUE,TRUE,0.9
500,0.6,1,0.1,0.3003003003003,0.96,TRUE,TRUE,1
500,0.6,1,0.1,-Inf,-Inf,TRUE,TRUE,0.1
500,0.6,1,0.1,-3.5035035035035,-Inf,TRUE,TRUE,0.2
500,0.6,1,0.1,-2.74274274274274,-Inf,TRUE,TRUE,0.3
500,0.6,1,0.1,-2.42242242242242,-Inf,TRUE,TRUE,0.4
500,0.6,1,0.1,-1.74174174174174,-2.688,TRUE,TRUE,0.5
